ContainsTest,Contains,TRUE,2,0,1,10,0.08,1379.58,2,0,1,2,0,162.46,4,13,0,1,122.57,0,0.5,0,0,2,1,232.49,1,0,0,junit.framework.TestCase,0,0,1,2,0,0,2,0,1,59,0,4,0,1.25,13,0.14,4338.25,7,3,1,4,3,97.03,26,22,1,1,129.25,0,0,0.33,0,4,2,425.71,0,1,2,java.lang.Object,0,0,0,5,0,0,3,1,5,102,0
DateSelectorTest,DateSelector,TRUE,4,1,2.5,69,0.89,41846.46,5,1,6,4,1,143.23,103,98,0,2,93.24,0,0.67,0,1,6,7,2683.63,3,1,1,org.apache.tools.ant.types.selectors.BaseSelectorTest,0.1,0,2,10,0,0,3,0,5,479,0,13,0.06,2.23,83,1.06,40728.9,26,13,9,14,11,82.04,80,120,6,4,114.26,0,0.8,0.14,6,49,11,3176.62,3,3,5,org.apache.tools.ant.types.selectors.BaseExtendSelector,0.15,1,4,29,0,1,10,0,15,628,0
DateUtilsTest,DateUtils,TRUE,8,0,1,44,0.55,7981.58,8,0,3,8,0,171.31,9,59,0,1,121.31,0,0.5,0,0,8,1,1660.53,1,0,0,junit.framework.TestCase,0,0,1,8,0,0,8,0,6,361,0,11,0,1.36,70,1.01,39522.56,26,15,9,14,6,76.34,140,105,6,1,113.9,0,0,0.07,4,48,3,3037.89,0,10,0,java.lang.Object,0,3,0,15,0,3,1,0,14,596,0
DefaultLoggerTest,DefaultLogger,TRUE,3,0,1,21,0.34,11800.51,3,0,3,3,0,68.88,22,24,0,1,111.17,0,0.5,0,1,3,1,1034.15,1,1,0,junit.framework.TestCase,0,0,1,3,0,0,2,0,9,213,0,20,0.04,1.85,118,1.55,85110.4,27,7,9,21,15,73.92,150,167,8,1,116.21,7,0,0.11,6,106,11,4663.61,0,5,7,java.lang.Object,0,1,0,37,7,1,15,1,26,892,0
DependSelectorTest,DependSelector,TRUE,4,1,1.5,93,1.06,54481.72,5,1,4,4,1,108.17,15,110,0,2,87.56,0,0.67,0,1,8,3,3178.32,9,1,1,org.apache.tools.ant.types.selectors.BaseSelectorTest,0.1,0,2,6,0,0,3,0,5,563,0,3,0,2,20,0.2,8690.99,3,0,1,3,8,72.26,21,28,6,4,114.55,0,0.8,0,0,1,4,603.16,0,2,2,org.apache.tools.ant.types.selectors.MappingSelector,0.08,0,4,6,0,0,1,0,4,134,0
DepthSelectorTest,DepthSelector,TRUE,4,1,2.25,78,0.88,42504.27,5,1,3,4,1,112.02,14,101,0,2,91.41,0,0.67,0,1,6,6,2651.97,5,1,1,org.apache.tools.ant.types.selectors.BaseSelectorTest,0.1,0,2,9,0,0,3,0,4,492,0,7,0.04,3,60,0.74,35819.61,11,4,4,7,9,65.56,54,90,6,4,107.85,0,0.8,0.29,2,15,7,2221.91,3,2,3,org.apache.tools.ant.types.selectors.BaseExtendSelector,0.16,0,4,21,0,0,5,0,11,437,0
DirectoryScannerTest,DirectoryScanner,TRUE,32,0.94,1.56,309,4.65,161499.21,33,1,10,33,0,106.14,31,438,0,1,106.14,0,0.5,0.09,1,110,11,13951.33,6,0,0,BuildFileTest,0,1,1,50,0,1,32,0,20,2681,0,69,0.02,2.59,575,7.45,465551.91,106,37,25,75,65,69.38,849,828,50,1,106.94,6,0,0.04,27,2548,23,22342.31,0,42,15,java.lang.Object,0,6,0,179,6,6,27,1,91,4167,0
DirSetTest,DirSet,TRUE,4,0,1.5,48,0.62,23971.12,4,0,3,4,0,150.9,4,59,0,1,100.9,0,0.5,0,1,4,3,1853.21,3,1,0,AbstractFileSetTest,0,0,1,6,0,0,3,0,1,360,0,7,0,1.71,31,0.28,7004.77,7,0,3,7,9,106.92,38,43,5,3,124.79,0,0.75,0,0,7,3,839.18,6,5,4,org.apache.tools.ant.types.AbstractFileSet,0.06,0,3,12,0,0,2,1,8,203,0
DOMElementWriterTest,DOMElementWriter,TRUE,14,0.77,1,135,2.15,47484.44,15,1,5,15,0,107.6,5,202,0,1,107.6,0,0.5,0.29,0,38,1,6454.03,2,0,0,junit.framework.TestCase,0,1,1,14,0,1,14,0,2,1262,0,16,0,3.81,252,3.07,188197.67,25,9,13,18,6,46.29,163,306,6,1,94.77,0,0,0.11,11,86,13,9198.49,1,5,0,java.lang.Object,0,2,0,61,0,2,11,0,33,1642,0
EchoPropertiesTest,Properties,TRUE,27,0.11,1.26,98,0.84,15417.81,33,6,10,27,0,181.44,28,147,0,1,131.44,0,0.5,0.06,4,142,4,2518.47,12,3,0,org.apache.tools.ant.BuildFileTest,0,0,1,34,0,0,24,0,5,595,0,13,0.01,3.62,156,2.37,136479.38,24,11,34,14,9,61.22,160,230,0,2,98.78,0,0.67,0.1,6,67,22,7096.11,3,2,9,org.apache.tools.ant.Task,0.04,1,2,47,0,1,11,0,20,1231,0
EmailAddressTest,EmailAddress,TRUE,18,0,1,39,0.29,2614.12,18,0,1,18,0,142.75,5,59,0,1,142.75,0,0.5,0,3,18,1,878.9,2,0,0,junit.framework.TestCase,0,0,1,18,0,0,18,0,3,253,0,8,0.14,3.25,72,0.94,95513.63,10,2,0,8,4,70.81,55,101,4,1,103.03,0,0,0.38,1,12,15,2822.26,0,4,0,java.lang.Object,0,0,0,26,0,0,4,0,19,535,0
